UniqueCount	AmbigCount
0	0
0	0
560	2617
200	2118
800	1350
0	0
26	0
5	9
5	0
0	0
11	0
4	0
5	35
20	13
7	0
0	0
0	0
0	0
0	2
2	0
0	0
0	0
0	0
0	0
0	0
2	94
0	62
0	70
0	60
4	27
0	5
0	34
0	40
0	1
0	0
0	1
0	9
0	0
0	0
0	0
0	28
0	0
0	0
0	0
1	367
0	383
25	753
0	180
1	583
27	132
0	316
0	156
13	23
1	371
522	572
0	372
0	211
0	184
2	427
0	268
5	107
0	495
193	3328
6	3204
0	133
14	28
15	375
8	364
4	195
1	131
0	107
1	24
0	0
0	0
0	3
2	2
0	0
0	4350
42	6001
100	1731
11	4529
6	753
1	838
371	5853
5	2292
0	0
0	14
0	0
4	34
80	98
1	47
0	95
2	49
0	0
0	0
0	16
27	1
0	0
2	237
1	386
43	5997
4	169
4	92
0	2337
0	5441
12	867
0	2379
2	94
1	654
1	101
2	196
3	748
10	137
2	1036
45	76
0	7
0	64
1	0
0	13
0	0
31	192
1	85
0	84
0	82
0	2
0	6
0	62
0	56
0	16
0	81
0	3
0	9
0	11
0	4
0	0
0	0
0	444
0	0
0	0
0	0
0	0
1419	3826
0	485
0	20
0	2633
0	881
9	284
16	3611
11	3565
1	0
41	26
0	241
0	0
0	0
0	0
2	1
0	1
5	1
1	2
0	0
0	1
0	0
0	0
0	0
0	0
0	1254
0	1331
0	1413
15	1061
0	284
0	84
0	611
19	444
8	435
2	6
7	22
0	0
0	24
0	4
0	0
0	0
0	5
0	6
0	0
0	0
0	0
3	46
0	0
0	0
4	0
0	0
0	0
0	0
0	0
1	0
541	11
6	375
3	347
0	40
0	57
1	314
8	9
2	12
44	2015
0	34
0	9
0	978
18898	2392
0	0
134	153
0	151
0	23
0	20
0	43
4786	335
0	357
0	140
0	0
0	0
0	20
0	0
0	0
0	527
0	528
0	544
1	12
0	426
3	478
0	531
0	20
3	61
1	463
3	56
3	58
0	13
0	0
11	34
0	41
0	34
1	42
0	37
0	8
9	217
3	151
0	63
0	121
8	126
4	0
1	11
0	11
0	0
1	11
0	24
2	24
1	11
0	12
0	7
1	0
0	0
101	1162
0	610
15	736
0	406
14	706
1	280
2	205
8	7
0	20
54	366
26	42
0	37
0	153
0	26
4	166
19	190
0	42
0	157
0	50
0	30
2	334
0	48
40	18
0	28
7	23
5	33
1	22
0	10
0	8
0	73
2	9
0	17
0	12
0	38
0	0
1396	3101
0	320
0	397
4	260
1	38
0	2091
0	111
0	310
2	0
11	0
0	35
8	35
0	2
0	4
0	1
0	6
0	0
0	0
0	0
0	1
0	1
0	0
2886	2297
8	79
0	752
2	369
0	305
0	317
0	882
0	311
0	0
0	0
0	0
