UniqueCount	AmbigCount
0	0
0	0
545	2517
208	2055
840	1354
0	0
15	0
5	6
3	0
0	0
5	0
1	0
9	38
15	15
1	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
2	0
0	0
0	0
6	66
0	51
0	61
0	37
0	11
0	5
1	11
0	17
1	0
0	0
0	1
0	11
0	0
0	0
0	1
0	20
0	1
0	0
0	0
0	295
0	334
17	687
2	168
0	523
20	102
2	261
0	116
13	31
1	317
450	519
0	317
0	195
0	146
1	390
0	246
5	106
1	415
185	2954
10	2855
1	149
15	40
11	352
6	333
1	182
0	130
0	104
1	25
0	0
0	0
0	2
5	0
1	0
0	4008
51	5458
105	1416
18	3995
7	605
5	695
357	5312
5	1998
0	0
0	12
0	0
7	46
36	64
2	27
0	62
0	27
0	0
0	0
0	11
45	0
0	0
2	195
0	329
59	4981
3	190
3	91
0	1888
0	4464
29	687
0	1936
1	84
2	563
0	108
2	197
2	599
18	102
0	916
46	98
0	3
0	92
10	0
0	13
1	0
31	152
0	102
1	101
1	99
0	1
0	7
0	77
1	68
0	15
0	99
0	7
0	17
0	8
0	10
2	0
0	2
0	556
0	0
0	0
0	0
0	0
1295	3807
0	514
1	23
0	2585
0	909
8	292
9	3547
16	3511
1	0
47	26
0	235
0	0
0	0
0	0
8	1
0	0
3	0
2	0
0	0
0	0
0	0
0	3
0	1
0	0
0	1165
0	1223
0	1292
11	871
0	240
0	73
0	641
18	320
2	310
0	3
4	24
2	1
0	21
1	2
0	0
0	0
0	4
0	3
0	1
0	0
0	0
0	29
0	0
0	0
2	0
0	2
0	0
0	0
0	0
0	0
487	13
17	422
3	389
1	42
1	63
1	349
6	7
0	20
49	1926
2	35
1	9
0	880
18808	2299
1	0
118	131
1	131
0	24
1	20
0	32
4446	295
0	296
0	135
0	1
0	1
0	11
0	1
0	1
2	506
1	505
0	518
2	7
0	414
2	473
0	507
1	25
0	46
0	453
9	59
5	69
1	28
0	0
7	22
0	41
0	34
3	37
1	22
0	4
6	222
3	141
0	56
0	127
22	132
1	0
3	12
0	12
0	0
0	1
0	8
0	8
0	3
1	5
0	6
0	0
0	0
65	1030
2	567
12	644
0	357
14	597
1	255
4	187
17	4
0	22
42	346
19	54
0	51
0	142
0	31
3	164
18	181
0	48
0	141
0	50
1	40
0	308
0	43
46	16
0	30
2	24
3	41
0	31
0	7
0	8
0	69
0	9
0	15
0	8
0	32
0	0
1236	2581
0	239
1	330
8	210
0	40
1	1764
3	114
0	250
0	0
6	3
0	9
5	9
2	0
0	0
0	0
0	2
0	0
0	0
0	0
0	2
0	2
0	0
3186	2512
2	87
0	815
3	344
0	335
0	329
0	1058
0	355
0	0
0	0
0	0
