UniqueCount	AmbigCount
0	0
0	0
481	2086
178	1603
641	1172
3	0
17	0
3	3
3	0
0	0
8	0
0	0
10	29
14	16
2	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
2	0
0	0
0	0
6	80
1	53
0	66
0	51
0	17
0	7
0	21
0	31
0	0
0	0
1	0
0	11
0	0
0	0
0	0
0	27
0	0
0	0
0	0
1	305
2	402
28	743
1	158
0	549
15	104
3	339
0	151
7	13
2	366
276	483
0	364
0	208
0	157
0	349
1	250
9	108
1	440
229	2795
6	2647
0	122
10	26
15	399
9	378
10	235
0	152
0	133
2	35
0	1
0	0
1	3
4	3
0	0
2	3578
24	4971
95	1653
5	3813
9	808
4	837
317	4809
5	2109
0	0
0	15
0	0
4	26
62	73
0	36
0	69
1	37
0	0
0	0
0	16
22	0
0	0
0	197
0	307
68	4882
1	212
0	85
0	1933
0	4363
13	771
1	2146
0	90
5	543
0	94
3	128
1	608
15	130
2	560
43	123
0	6
0	114
3	0
0	17
0	0
26	181
1	61
0	61
0	59
0	0
0	3
0	53
0	52
0	9
1	59
0	4
0	8
0	6
0	1
0	0
0	0
0	283
0	0
0	0
0	0
0	0
1340	3224
0	518
0	24
0	2142
0	829
2	289
11	2997
11	2961
1	1
36	17
0	247
0	0
0	0
0	0
1	3
0	0
1	1
0	2
0	0
0	0
0	0
0	0
0	1
0	0
0	1183
0	1267
0	1363
11	1027
0	243
0	63
0	668
23	437
3	442
0	0
7	38
3	0
0	26
1	0
0	0
0	0
0	9
0	2
0	0
0	0
0	0
0	29
0	0
1	0
3	0
0	0
0	0
0	0
0	0
0	0
460	9
9	426
3	411
0	44
0	80
0	366
2	10
1	25
37	1894
0	27
0	13
0	1063
15984	2254
0	0
71	146
0	146
0	23
2	11
0	51
3654	291
0	307
0	123
0	0
1	0
0	17
0	0
1	0
3	415
0	421
0	431
2	14
0	365
1	391
0	416
0	26
0	57
0	375
3	41
3	42
2	22
0	0
2	31
0	38
0	31
4	33
1	30
2	6
4	170
5	129
0	54
0	93
7	93
2	0
3	8
0	7
0	1
0	8
0	22
0	24
1	14
0	12
0	12
1	0
0	0
67	997
0	474
10	671
0	386
15	648
3	225
3	202
12	8
1	26
27	432
18	59
0	52
0	196
2	35
6	211
11	236
0	52
0	198
0	61
0	42
2	385
0	55
34	14
0	30
2	22
2	34
1	20
0	6
0	11
0	78
2	11
0	21
4	8
0	42
1	0
991	2422
0	252
0	281
11	259
0	35
0	1597
0	91
0	284
1	0
6	0
1	14
2	14
1	2
0	2
0	0
1	8
0	0
0	0
0	0
0	3
0	2
0	0
2637	2314
7	77
0	865
0	359
0	351
0	359
0	784
1	321
0	0
0	1
0	0
