UniqueCount	AmbigCount
0	0
0	0
653	2787
245	2176
847	1548
2	0
11	0
7	5
8	2
0	0
5	0
3	0
12	57
13	17
5	0
0	0
0	0
0	0
0	1
2	1
0	1
0	1
5	1
0	0
0	0
7	65
0	44
0	54
0	46
0	17
0	2
0	19
0	30
0	3
0	0
0	0
0	18
0	0
0	0
0	2
1	35
0	0
1	0
0	0
4	363
1	474
29	902
1	196
0	706
12	159
2	434
0	221
6	20
2	454
466	653
0	456
0	252
0	198
6	455
0	332
4	149
1	594
300	3539
7	3371
0	189
17	49
16	542
4	520
8	296
0	193
0	157
1	37
0	0
0	0
2	1
5	3
0	0
1	4802
32	6487
138	2156
16	4992
4	965
8	1134
423	6281
4	2695
0	0
0	15
0	0
6	38
206	241
5	104
0	231
1	127
0	0
0	0
0	18
34	0
0	0
5	219
0	350
67	6379
0	226
4	100
0	2397
0	5815
16	1037
0	2810
1	89
3	817
3	142
4	231
1	781
14	143
1	832
44	118
0	2
0	108
21	0
0	10
0	0
23	215
1	201
1	200
1	197
0	4
0	7
0	162
0	143
0	20
0	198
1	15
0	18
0	30
0	24
9	0
0	0
0	393
0	0
0	0
0	0
0	0
1754	4488
0	671
0	25
0	2979
0	1113
7	390
10	4198
21	4143
1	1
39	35
0	270
0	0
0	0
0	0
2	3
0	0
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1386
0	1485
0	1579
12	1260
0	309
1	89
0	800
35	488
7	479
0	8
7	23
3	1
0	35
2	2
0	0
0	0
0	6
0	4
0	0
0	0
0	0
0	52
0	0
1	0
9	0
0	2
0	0
0	0
0	0
1	0
507	3
17	394
9	368
1	50
1	76
0	335
3	9
2	19
67	3701
0	61
0	9
0	1104
33890	4419
0	0
128	160
6	160
0	14
1	20
1	51
4694	328
0	341
0	110
0	2
1	2
0	18
0	1
0	0
2	544
0	542
1	555
5	11
0	442
3	496
0	544
0	33
0	65
2	469
0	68
3	58
0	20
0	0
4	30
0	53
0	39
6	46
2	31
0	12
11	257
7	172
0	72
0	150
10	150
3	0
1	2
0	2
0	0
0	8
1	18
3	18
0	9
1	9
0	9
0	0
0	0
84	1175
0	582
12	792
0	426
11	735
1	262
3	254
7	6
0	32
37	442
21	60
0	57
0	160
0	32
5	179
10	203
0	58
0	161
0	54
0	47
0	390
0	44
41	20
0	42
5	24
3	35
1	18
0	16
0	15
0	101
0	11
0	21
2	16
0	41
0	0
1293	3159
0	320
0	387
5	345
0	46
0	2067
2	102
0	321
0	0
4	1
2	72
18	72
2	7
0	9
0	0
0	9
0	0
0	0
0	0
0	12
0	4
0	0
2614	2360
5	69
0	845
0	309
0	293
0	322
0	842
0	307
0	0
0	1
